popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0,0.04,inf,inf,inf,inf
64,0,0.08,inf,inf,inf,inf
64,0,0.12,inf,inf,inf,inf
64,0,0.16,inf,inf,inf,inf
64,0,0.19999999,inf,inf,inf,inf
64,0,0.23999998,inf,inf,inf,inf
64,0,0.28,inf,inf,inf,inf
64,0,0.32,inf,inf,inf,inf
64,0,0.35999998,inf,inf,inf,inf
64,0,0.39999998,inf,inf,inf,inf
64,0,0.43999997,inf,inf,inf,inf
64,0,0.48,inf,inf,inf,inf
64,0,0.52,inf,inf,inf,inf
64,0,0.56,inf,inf,inf,inf
64,0,0.6,inf,inf,inf,inf
64,0,0.64,inf,inf,inf,inf
64,0,0.68,inf,inf,inf,inf
64,0,0.72,inf,inf,inf,inf
64,0,0.76,inf,inf,inf,inf
64,0,0.8,inf,inf,inf,inf
64,0,0.84,inf,inf,inf,inf
64,0,0.88,inf,inf,inf,inf
64,0,0.92,inf,inf,inf,inf
64,0,0.96,inf,inf,inf,inf
64,0.04,0.04,inf,inf,inf,inf
64,0.04,0.08,inf,inf,inf,inf
64,0.04,0.12,inf,inf,inf,inf
64,0.04,0.16,inf,inf,inf,inf
64,0.04,0.19999999,inf,inf,inf,inf
64,0.04,0.23999998,inf,inf,inf,inf
64,0.04,0.28,inf,inf,inf,inf
64,0.04,0.32,inf,inf,inf,inf
64,0.04,0.35999998,inf,inf,inf,inf
64,0.04,0.39999998,inf,inf,inf,inf
64,0.04,0.43999997,inf,inf,inf,inf
64,0.04,0.48,inf,inf,inf,inf
64,0.04,0.52,inf,inf,inf,inf
64,0.04,0.56,inf,inf,inf,inf
64,0.04,0.6,inf,inf,inf,inf
64,0.04,0.64,inf,inf,inf,inf
64,0.04,0.68,inf,inf,inf,inf
64,0.04,0.72,inf,inf,inf,inf
64,0.04,0.76,inf,inf,inf,inf
64,0.04,0.8,inf,inf,inf,inf
64,0.04,0.84,inf,inf,inf,inf
64,0.04,0.88,inf,inf,inf,inf
64,0.04,0.92,inf,inf,inf,inf
64,0.04,0.96,inf,inf,inf,inf
64,0.08,0.04,inf,inf,inf,inf
64,0.08,0.08,inf,inf,inf,inf
64,0.08,0.12,inf,inf,inf,inf
64,0.08,0.16,inf,inf,inf,inf
64,0.08,0.19999999,inf,inf,inf,inf
64,0.08,0.23999998,inf,inf,inf,inf
64,0.08,0.28,inf,inf,inf,inf
64,0.08,0.32,inf,inf,inf,inf
64,0.08,0.35999998,inf,inf,inf,inf
64,0.08,0.39999998,inf,inf,inf,inf
64,0.08,0.43999997,inf,inf,inf,inf
64,0.08,0.48,inf,inf,inf,inf
64,0.08,0.52,inf,inf,inf,inf
64,0.08,0.56,inf,inf,inf,inf
64,0.08,0.6,inf,inf,inf,inf
64,0.08,0.64,inf,inf,inf,inf
64,0.08,0.68,inf,inf,inf,inf
64,0.08,0.72,inf,inf,inf,inf
64,0.08,0.76,inf,inf,inf,inf
64,0.08,0.8,inf,inf,inf,inf
64,0.08,0.84,inf,inf,inf,inf
64,0.08,0.88,inf,inf,inf,inf
64,0.08,0.92,inf,inf,inf,inf
64,0.08,0.96,inf,inf,inf,inf
64,0.12,0.04,inf,inf,inf,inf
64,0.12,0.08,inf,inf,inf,inf
64,0.12,0.12,inf,inf,inf,inf
64,0.12,0.16,inf,inf,inf,inf
64,0.12,0.19999999,inf,inf,inf,inf
64,0.12,0.23999998,inf,inf,inf,inf
64,0.12,0.28,inf,inf,inf,inf
64,0.12,0.32,inf,inf,inf,inf
64,0.12,0.35999998,inf,inf,inf,inf
64,0.12,0.39999998,inf,inf,inf,inf
64,0.12,0.43999997,inf,inf,inf,inf
64,0.12,0.48,inf,inf,inf,inf
64,0.12,0.52,inf,inf,inf,inf
64,0.12,0.56,inf,inf,inf,inf
64,0.12,0.6,inf,inf,inf,inf
64,0.12,0.64,inf,inf,inf,inf
64,0.12,0.68,inf,inf,inf,inf
64,0.12,0.72,inf,inf,inf,inf
64,0.12,0.76,inf,inf,inf,inf
64,0.12,0.8,inf,inf,inf,inf
64,0.12,0.84,inf,inf,inf,inf
64,0.12,0.88,inf,inf,inf,inf
64,0.12,0.92,inf,inf,inf,inf
64,0.12,0.96,inf,inf,inf,inf
64,0.16,0.04,inf,inf,inf,inf
64,0.16,0.08,inf,inf,inf,inf
64,0.16,0.12,inf,inf,inf,inf
64,0.16,0.16,inf,inf,inf,inf
64,0.16,0.19999999,inf,inf,inf,inf
64,0.16,0.23999998,inf,inf,inf,inf
64,0.16,0.28,inf,inf,inf,inf
64,0.16,0.32,inf,inf,inf,inf
64,0.16,0.35999998,inf,inf,inf,inf
64,0.16,0.39999998,inf,inf,inf,inf
64,0.16,0.43999997,inf,inf,inf,inf
64,0.16,0.48,inf,inf,inf,inf
64,0.16,0.52,inf,inf,inf,inf
64,0.16,0.56,inf,inf,inf,inf
64,0.16,0.6,inf,inf,inf,inf
64,0.16,0.64,inf,inf,inf,inf
64,0.16,0.68,inf,inf,inf,inf
64,0.16,0.72,inf,inf,inf,inf
64,0.16,0.76,inf,inf,inf,inf
64,0.16,0.8,inf,inf,inf,inf
